Question,Answer,Tags
1.1.1,N/A,gate1992  algorithms  descriptive  algorithm-design
1.1.2,N/A,gate1994  algorithms  normal  algorithm-design  fill-in-the-blanks
1.1.3,B,gatecse-2006  algorithms  normal  algorithm-design
1.1.4,C,gatecse-2006  algorithms  normal  algorithm-design  time-complexity
1.1.5,12,gatecse-2014-set1  algorithms  numerical-answers  normal  algorithm-design
1.1.6,29,gatecse-2019  numerical-answers  algorithms  algorithm-design  1-mark
1.1.7,A;C,gatecse-2021-set1  multiple-selects  algorithms  algorithm-design  2-marks
1.1.8,B,gatecse2024-set2  algorithms  algorithm-design
1.2.1,N/A,gate1990  descriptive  algorithms  algorithm-design-technique
1.2.2,N/A,gate1990  match-the-following  algorithms  algorithm-design-technique  easy
1.2.3,C,gate1994  algorithms  algorithm-design-technique  quick-sort  easy  isro2016
1.2.4,A,gate1995  algorithms  sorting  easy  algorithm-design-technique  merge-sort
1.2.5,B,gate1997  algorithms  normal  algorithm-design-technique  easy  match-the-following
1.2.6,A,gate1998  algorithms  algorithm-design-technique  easy  isro2008
1.2.7,C,gatecse-2015-set1  algorithms  normal  match-the-following  algorithm-design-technique
1.2.8,C,gatecse-2015-set2  algorithms  easy  algorithm-design-technique  match-the-following
1.2.9,C,gatecse-2017-set1  algorithms  algorithm-design-technique  easy  match-the-following
1.3.1,A;B,gate1994  algorithms  asymptotic-notation  normal  multiple-selects
1.3.2,B,gate1996  algorithms  asymptotic-notation  normal
1.3.3,X,gate1999  algorithms  recurrence-relation  asymptotic-notation  normal  match-the-following
1.3.4,D,gatecse-2000  algorithms  asymptotic-notation  normal
1.3.5,B,gatecse-2001  algorithms  asymptotic-notation  time-complexity  normal
1.3.6,A,gatecse-2003  algorithms  asymptotic-notation  normal
1.3.7,C,gatecse-2004  algorithms  sorting  asymptotic-notation  easy
1.3.8,C,gatecse-2005  algorithms  asymptotic-notation  recurrence-relation  normal
1.3.9,D,gatecse-2008  algorithms  asymptotic-notation  normal
1.3.10,A,gatecse-2011  algorithms  asymptotic-notation  normal
1.3.11,C,
1.3.12,C,gatecse-2015-set3  algorithms  asymptotic-notation  normal
1.3.13,D,gatecse-2015-set3  algorithms  asymptotic-notation  normal
1.3.14,B,gatecse-2017-set1  algorithms  asymptotic-notation  normal
1.3.15,D,gatecse-2021-set1  algorithms  asymptotic-notation  1-mark
1.3.16,A,gatecse-2022  algorithms  asymptotic-notation  1-mark
1.3.17,A;C,gatecse-2023  algorithms  asymptotic-notation  multiple-selects  1-mark
1.3.18,A;D,gatecse-2023  algorithms  asymptotic-notation  multiple-selects  2-marks
1.3.19,A,gatecse2024-set2  algorithms  recurrence-relation  asymptotic-notation
1.3.20,D,gateit-2004  algorithms  asymptotic-notation  normal
1.3.21,A,gateit-2008  algorithms  asymptotic-notation  normal
1.4.1,B,gatecse-2009  algorithms  graph-algorithms  normal  bellman-ford
1.4.2,C,gatecse-2013  algorithms  graph-algorithms  normal  bellman-ford
1.5.1,B,gatecse-2021-set2  algorithms  binary-search  time-complexity  1-mark
1.5.2,A,gate-ds-ai-2024  algorithms  binary-search
1.6.1,N/A,gate1996  algorithms  graph-algorithms  normal  dijkstras-algorithm  descriptive
1.6.2,B,gatecse-2004  algorithms  graph-algorithms  normal  dijkstras-algorithm
1.6.3,D,gatecse-2005  algorithms  graph-algorithms  normal  dijkstras-algorithm
1.6.4,A,gatecse-2006  algorithms  graph-algorithms  easy  dijkstras-algorithm
1.6.5,D,gatecse-2008  algorithms  graph-algorithms  normal  dijkstras-algorithm
1.6.6,D,gatecse-2012  algorithms  graph-algorithms  normal  dijkstras-algorithm
1.7.1,B,gatecse-2008  algorithms  normal  dynamic-programming
1.7.2,C,gatecse-2008  algorithms  normal  dynamic-programming
1.7.3,C,gatecse-2009  algorithms  normal  dynamic-programming  recursion
1.7.4,B,gatecse-2009  normal  algorithms  dynamic-programming  recursion
1.7.5,B,gatecse-2010  algorithms  dynamic-programming  normal
1.7.6,A,gatecse-2011  algorithms  easy  dynamic-programming
1.7.7,34,gatecse-2014-set2  algorithms  normal  numerical-answers  dynamic-programming
1.7.8,150,gatecse-2014-set3  algorithms  normal  numerical-answers  dynamic-programming
1.7.9,C,gatecse-2016-set2  algorithms  dynamic-programming  easy
1.8.1,B,gate1994  algorithms  normal  graph-algorithms
1.8.2,D,gatecse-2003  algorithms  graph-algorithms  normal
1.8.3,A,gatecse-2005  algorithms  graph-algorithms  normal
1.8.4,A,gatecse-2005  algorithms  graph-algorithms  normal
1.8.5,B,gatecse-2016-set2  algorithms  graph-algorithms  normal
1.8.6,A,gatecse-2017-set1  algorithms  graph-algorithms  normal
1.8.7,A;B,gatecse-2021-set2  multiple-selects  algorithms  graph-algorithms  2-marks
1.8.8,929 : 929,gatecse-2021-set2  algorithms  graph-algorithms  directed-acyclic-graph  numerical-answers  2-marks
1.8.9,A,gateit-2005  algorithms  graph-algorithms  match-the-following  easy
1.8.10,C,gateit-2005  algorithms  graph-algorithms  normal
1.8.11,D,gateit-2005  algorithms  graph-algorithms  normal
1.9.1,N/A,gate1989  descriptive  algorithms  graph-algorithms  depth-first-search  graph-search
1.9.2,C,gatecse-2000  algorithms  easy  graph-algorithms  graph-search  match-the-following
1.9.3,C,gatecse-2000  algorithms  graph-algorithms  normal  graph-search
1.9.4,C,gatecse-2001  algorithms  graph-algorithms  normal  graph-search
1.9.5,D,gatecse-2003  algorithms  graph-algorithms  normal  graph-search
1.9.6,D,gatecse-2006  algorithms  graph-algorithms  normal  graph-search
1.9.7,C,gatecse-2008  normal  algorithms  graph-algorithms  graph-search
1.9.8,C,gatecse-2014-set1  algorithms  graph-algorithms  normal  graph-search
1.9.9,B,gatecse-2014-set2  algorithms  graph-algorithms  normal  graph-search
1.9.10,19,gatecse-2014-set3  algorithms  graph-algorithms  numerical-answers  normal  graph-search
1.9.11,D,gatecse-2015-set1  algorithms  graph-algorithms  normal  graph-search
1.9.12,31,gatecse-2016-set2  algorithms  graph-algorithms  normal  numerical-answers  graph-search
1.9.13,D,gatecse-2017-set2  algorithms  graph-algorithms  graph-search
1.9.14,A,gatecse-2018  algorithms  graph-algorithms  graph-search  normal  2-marks
1.9.15,5040,gatecse-2023  algorithms  breadth-first-search  numerical-answers  2-marks  graph-search
1.9.16,C,gatecse2024-set1  algorithms  multiple-selects  graph-search
1.9.17,60,gatecse2024-set1  numerical-answers  graph-search  graph-algorithms
1.9.18,A,gate-ds-ai-2024  graph-search  depth-first-search  algorithms
1.9.19,D,gateit-2005  algorithms  graph-algorithms  normal  graph-search
1.9.20,D,gateit-2006  algorithms  graph-algorithms  normal  graph-search  depth-first-search
1.9.21,D,gateit-2007  algorithms  graph-algorithms  normal  graph-search  depth-first-search
1.9.22,B,gateit-2008  algorithms  graph-algorithms  normal  graph-search  depth-first-search
1.10.1,A,gate1999  algorithms  normal  greedy-algorithm
1.10.2,B,gatecse-2003  algorithms  normal  greedy-algorithm
1.10.3,D,gatecse-2005  algorithms  greedy-algorithm  process-scheduling  normal
1.10.4,A,gatecse-2005  algorithms  greedy-algorithm  process-scheduling  normal
1.10.5,16,
1.11.1,B,hashing  isro2015  gate1989  algorithms  normal
1.11.2,N/A,gate1990  hashing  algorithms  descriptive
1.11.3,13,gatecse-2020  numerical-answers  algorithms  hashing  1-mark
1.11.4,C,gatecse-2021-set1  multiple-selects  algorithms  hashing  2-marks
1.11.5,B,gatecse-2022  algorithms  hashing  uniform-hashing  1-mark
1.11.6,C,gatecse-2023  algorithms  hashing  1-mark
1.11.7,D,gateit-2005  algorithms  hashing  easy
1.12.1,2.33,descriptive  gate1989  algorithms  huffman-code
1.12.2,A,gatecse-2007  algorithms  greedy-algorithm  normal  huffman-code
1.12.3,D,gatecse-2007  algorithms  greedy-algorithm  normal  huffman-code
1.12.4,225,gatecse-2017-set2  huffman-code  numerical-answers  algorithms
1.12.5,B,gatecse-2021-set2  algorithms  huffman-code  2-marks
1.12.6,A,gateit-2006  algorithms  greedy-algorithm  normal  huffman-code
1.13.1,N/A,gate1989  descriptive  algorithms  identify-function
1.13.2,N/A,gate1990  descriptive  algorithms  identify-function
1.13.3,C,gate1991  algorithms  easy  identify-function  multiple-selects
1.13.4,A,gate1993  algorithms  identify-function  easy
1.13.5,N/A,gate1994  algorithms  identify-function  normal  descriptive
1.13.6,C,gate1995  algorithms  identify-function  easy
1.13.7,C,gate1995  algorithms  identify-function  normal
1.13.8,N/A,gate1995  algorithms  identify-function  normal  descriptive
1.13.9,C,gate1998  algorithms  recursion  identify-function  normal
1.13.10,D,gate1999  algorithms  identify-function  normal
1.13.11,A,gatecse-2000  algorithms  normal  identify-function
1.13.12,B,gatecse-2003  algorithms  identify-function  normal
1.13.13,D,gatecse-2003  algorithms  identify-function  normal
1.13.14,C,gatecse-2004  algorithms  normal  identify-function
1.13.15,C,gatecse-2004  algorithms  identify-function  normal
1.13.16,D,gatecse-2005  algorithms  identify-function  recursion  normal
1.13.17,D,gatecse-2006  algorithms  identify-function  normal
1.13.18,D,gatecse-2006  algorithms  identify-function  normal
1.13.19,B,gatecse-2009  algorithms  recursion  identify-function  normal
1.13.20,C,gatecse-2010  algorithms  recursion  identify-function  normal
1.13.21,B,gatecse-2011  algorithms  recursion  identify-function  normal
1.13.22,D,gatecse-2011  algorithms  recursion  identify-function  normal
1.13.23,B,gatecse-2013  algorithms  identify-function  normal
1.13.24,A,gatecse-2014-set1  algorithms  identify-function  normal
1.13.25,9,gatecse-2014-set2  algorithms  identify-function  numerical-answers  easy
1.13.26,A,gatecse-2014-set3  algorithms  identify-function  easy
1.13.27,D,gatecse-2015-set1  algorithms  normal  identify-function
1.13.28,51,gatecse-2015-set2  algorithms  identify-function  recurrence-relation  normal  numerical-answers
1.13.29,0,gatecse-2015-set3  algorithms  identify-function  normal  numerical-answers
1.13.30,D,gatecse-2019  algorithms  identify-function  2-marks
1.13.31,81,gatecse-2020  numerical-answers  identify-function  2-marks
1.13.32,1023 : 1023,gatecse-2021-set1  algorithms  numerical-answers  identify-function  2-marks
1.13.33,15 : 15,gatecse-2021-set2  numerical-answers  algorithms  identify-function  output  1-mark
1.13.34,D,gateit-2005  normal  identify-function
1.13.35,C,gateit-2005  algorithms  identify-function  normal
1.13.36,C,gateit-2006  algorithms  identify-function  normal
1.13.37,D,gateit-2008  algorithms  recursion  identify-function  normal
1.13.38,C,gateit-2008  algorithms  recursion  identify-function  normal
1.14.1,A,gatecse-2003  algorithms  sorting  time-complexity  normal  insertion-sort
1.14.2,D,gatecse-2003  algorithms  sorting  normal  insertion-sort
1.15.1,C,gatecse-2011  algorithms  dynamic-programming  normal  matrix-chain-ordering
1.15.2,1500,gatecse-2016-set2  dynamic-programming  algorithms  matrix-chain-ordering  normal  numerical-answers
1.15.3,C,gatecse-2018  algorithms  dynamic-programming  2-marks  matrix-chain-ordering
1.16.1,B,gate1999  algorithms  merge-sort  normal  isro2015  sorting
1.16.2,B,gatecse-2012  algorithms  sorting  normal  merge-sort
1.16.3,B,gatecse-2015-set3  algorithms  sorting  merge-sort
1.17.1,C,gate1995  algorithms  sorting  normal  merging
1.17.2,358,gatecse-2014-set2  algorithms  sorting  normal  numerical-answers  merging
1.18.1,B;D;E,gate1991  algorithms  graph-algorithms  minimum-spanning-tree  time-complexity  multiple-selects
1.18.2,N/A,gate1992  minimum-spanning-tree  algorithms  time-complexity  easy  fill-in-the-blanks
1.18.3,2,gate1995  algorithms  graph-algorithms  minimum-spanning-tree  easy  descriptive
1.18.4,N/A,gate1996  algorithms  graph-algorithms  minimum-spanning-tree  normal  descriptive
1.18.5,N/A,gate1997  algorithms  minimum-spanning-tree  normal  descriptive
1.18.6,C,gatecse-2000  algorithms  minimum-spanning-tree  normal
1.18.7,N/A,gatecse-2001  algorithms  minimum-spanning-tree  normal  descriptive
1.18.8,B,gatecse-2003  algorithms  minimum-spanning-tree  normal
1.18.9,C,gatecse-2005  algorithms  minimum-spanning-tree  normal
1.18.10,B,gatecse-2006  algorithms  minimum-spanning-tree  normal
1.18.11,D,gatecse-2006  algorithms  graph-algorithms  minimum-spanning-tree  normal
1.18.12,D,gatecse-2007  algorithms  minimum-spanning-tree  normal
1.18.13,D,gatecse-2009  algorithms  minimum-spanning-tree  normal
1.18.14,D,gatecse-2010  algorithms  minimum-spanning-tree  normal
1.18.15,B,gatecse-2010  normal  algorithms  minimum-spanning-tree
1.18.16,B,gatecse-2011  algorithms  graph-algorithms  minimum-spanning-tree  normal
1.18.17,C,gatecse-2011  algorithms  graph-algorithms  minimum-spanning-tree  normal
1.18.18,X,gatecse-2012  algorithms  minimum-spanning-tree  normal  marks-to-all
1.18.19,6,gatecse-2014-set2  algorithms  minimum-spanning-tree  numerical-answers  normal
1.18.20,69,gatecse-2015-set1  algorithms  minimum-spanning-tree  normal  numerical-answers
1.18.21,995,gatecse-2015-set3  algorithms  minimum-spanning-tree  easy  numerical-answers
1.18.22,A,gatecse-2016-set1  algorithms  minimum-spanning-tree  normal
1.18.23,7,gatecse-2016-set1  algorithms  minimum-spanning-tree  normal  numerical-answers
1.18.24,B,gatecse-2016-set1  algorithms  minimum-spanning-tree  normal
1.18.25,4,gatecse-2018  algorithms  graph-algorithms  minimum-spanning-tree  numerical-answers  2-marks
1.18.26,D,gatecse-2020  algorithms  minimum-spanning-tree  graph-algorithms  2-marks
1.18.27,99,gatecse-2020  numerical-answers  algorithms  graph-algorithms  2-marks  minimum-spanning-tree
1.18.28,3 : 3,gatecse-2021-set1  algorithms  graph-algorithms  minimum-spanning-tree  numerical-answers  1-mark
1.18.29,C,gatecse-2021-set2  algorithms  graph-algorithms  minimum-spanning-tree  1-mark
1.18.30,A;B;C,gatecse-2022  algorithms  minimum-spanning-tree  multiple-selects  2-marks
1.18.31,24,gatecse-2022  numerical-answers  algorithms  minimum-spanning-tree  2-marks
1.18.32,9,gatecse2024-set2  numerical-answers  algorithms  minimum-spanning-tree
1.18.33,A,gateit-2005  algorithms  minimum-spanning-tree  normal
1.19.1,D,gateit-2004  algorithms  graph-algorithms  normal  prims-algorithm
1.19.2,C,gateit-2008  algorithms  graph-algorithms  minimum-spanning-tree  normal  prims-algorithm
1.20.1,C,gate1987  algorithms  sorting  quick-sort
1.20.2,N/A,gate1989  descriptive  algorithms  sorting  quick-sort
1.20.3,N/A,gate1992  algorithms  sorting  easy  quick-sort  descriptive
1.20.4,C,gate1996  algorithms  sorting  normal  quick-sort
1.20.5,C,gatecse-2001  algorithms  sorting  time-complexity  easy  quick-sort
1.20.6,B,gatecse-2006  algorithms  sorting  easy  quick-sort
1.20.7,B,gatecse-2008  algorithms  sorting  easy  quick-sort
1.20.8,B,gatecse-2009  algorithms  sorting  normal  quick-sort
1.20.9,C,gatecse-2014-set1  algorithms  sorting  easy  quick-sort
1.20.10,A,gatecse-2014-set3  algorithms  sorting  easy  quick-sort
1.20.11,B,gatecse-2015-set1  algorithms  recurrence-relation  sorting  easy  quick-sort
1.20.12,A,gatecse-2015-set2  algorithms  normal  sorting  quick-sort
1.20.13,0.08,gatecse-2019  numerical-answers  algorithms  quick-sort  probability  1-mark
1.20.14,0,gate-ds-ai-2024  numerical-answers  algorithms  quick-sort
1.21.1,N/A,gate1987  algorithms  recurrence-relation  descriptive
1.21.2,N/A,gate1988  descriptive  algorithms  recurrence-relation
1.21.3,N/A,gate1989  descriptive  algorithms  recurrence-relation
1.21.4,N/A,gate1990  descriptive  algorithms  recurrence-relation
1.21.5,N/A,gate1992  algorithms  recurrence-relation  descriptive
